id_cliente,edad,ingreso_mensual,visitas_pagina,visitas_producto_promo,visitas_producto_no_promo,compras_previas,compras_producto_promo,compras_producto_no_promo,descuento_aplicado,veces_expuesto_banner,compra_en_promo
1,24,600802,10,4,6,3,1,2,20,3,0
2,44,317554,7,4,3,2,0,2,15,4,0
3,37,339877,13,7,6,3,1,2,20,10,0
4,19,564925,11,6,5,2,1,1,30,3,0
5,29,417648,15,5,10,2,1,1,25,4,0
6,51,749110,9,6,3,2,0,2,20,3,0
7,18,333788,19,7,12,2,0,2,25,7,0
8,30,597341,9,4,5,4,1,3,10,9,0
9,47,507400,16,7,9,2,0,2,25,4,1
10,26,420594,9,6,3,1,0,1,10,10,1
11,28,708116,17,8,9,2,0,2,15,2,1
12,34,580722,7,4,3,5,3,2,15,2,0
13,49,300000,19,7,12,4,0,4,5,6,0
14,28,571538,8,3,5,0,0,0,20,3,0
15,30,766811,9,2,7,1,0,1,15,5,0
16,30,419921,14,7,7,6,1,5,15,12,0
17,57,400527,10,7,3,2,0,2,5,8,0
18,56,338453,12,6,6,5,1,4,15,7,0
19,45,440012,11,3,8,6,2,4,15,3,1
20,38,582148,11,6,5,4,0,4,20,9,1
21,42,318995,18,8,10,1,0,1,20,11,1
22,49,300000,11,3,8,3,0,3,15,10,0
23,25,380674,14,12,2,2,1,1,15,12,1
24,46,300000,5,3,2,3,1,2,20,4,0
25,22,545406,9,5,4,1,0,1,15,11,0
26,28,372996,16,9,7,2,0,2,20,11,1
27,44,300000,6,2,4,1,0,1,10,9,0
28,20,384830,9,5,4,1,0,1,5,6,0
29,33,409607,6,3,3,2,1,1,20,7,0
30,26,529481,11,3,8,2,0,2,20,5,1
31,32,417422,12,6,6,3,1,2,5,8,0
32,18,934241,14,7,7,0,0,0,5,11,0
33,18,359517,9,4,5,1,0,1,5,1,0
34,28,431507,21,7,14,2,0,2,5,7,0
35,44,424571,15,4,11,3,0,3,10,4,1
36,33,395121,13,7,6,3,0,3,25,4,1
37,35,468349,9,6,3,4,2,2,15,5,1
38,41,549350,9,6,3,2,0,2,20,11,0
39,26,756183,11,4,7,2,1,1,40,1,1
40,37,300000,15,10,5,5,2,3,15,10,1
41,26,360721,20,11,9,1,0,1,25,7,0
42,18,369864,13,5,8,4,2,2,15,3,0
43,31,643797,14,6,8,1,0,1,20,12,0
44,40,383592,16,6,10,4,0,4,10,5,1
45,38,300000,7,1,6,4,0,4,25,5,0
46,34,458214,12,2,10,2,0,2,5,6,0
47,58,436491,13,5,8,1,0,1,15,2,0
48,39,475394,10,3,7,1,0,1,40,5,0
49,44,300000,7,4,3,4,1,3,5,10,0
50,57,879944,13,4,9,2,0,2,5,1,0
51,22,388658,17,9,8,3,1,2,10,3,0
52,24,410315,11,6,5,3,0,3,5,7,0
53,52,308660,14,6,8,3,1,2,20,6,1
54,27,304857,10,3,7,2,1,1,20,6,1
55,35,300000,8,4,4,2,0,2,15,10,0
56,45,378009,11,7,4,2,1,1,40,10,1
57,43,301633,17,7,10,4,0,4,10,5,0
58,52,1007101,9,5,4,3,1,2,15,2,0
59,49,300000,22,11,11,2,1,1,15,9,1
60,45,300000,9,2,7,3,0,3,20,4,0
61,27,376786,14,3,11,1,0,1,10,10,0
62,42,579196,17,9,8,0,0,0,25,6,0
63,38,374930,12,7,5,4,2,2,10,8,1
64,21,579769,11,7,4,1,0,1,40,7,0
65,49,300000,12,4,8,3,1,2,30,7,0
66,43,453031,8,4,4,0,0,0,15,7,0
67,35,888790,11,4,7,5,1,4,25,9,1
